OrderDate,GWP,VS
12/8/2016,23627,5237.806806
13/8/2016,23627,5237.806806
14/8/2016,23627,5237.806806
15/8/2016,23627,5237.806806
16/8/2016,23627,5237.806806
17/8/2016,23627,5237.806806
18/8/2016,23627,5237.806806
19/8/2016,23627,5237.806806
20/8/2016,23627,5237.806806
21/8/2016,23627,5237.806806
22/8/2016,23627,5237.806806
23/8/2016,23627,5237.806806
24/8/2016,23627,5237.806806
25/8/2016,23627,5237.806806
26/8/2016,23627,5237.806806
27/8/2016,23627,5237.806806
28/8/2016,23627,5237.806806
29/8/2016,23627,5237.806806
30/8/2016,23627,5237.806806
31/8/2016,23627,5237.806806
1/9/2016,22188,30361.12174
2/9/2016,22188,30361.12174
3/9/2016,22188,30361.12174
4/9/2016,22188,30361.12174
5/9/2016,22188,30361.12174
6/9/2016,22188,30361.12174
7/9/2016,22188,30361.12174
8/9/2016,22188,30361.12174
9/9/2016,22188,30361.12174
10/9/2016,22188,30361.12174
11/9/2016,22188,30361.12174
12/9/2016,22188,30361.12174
13/9/2016,22188,30361.12174
14/9/2016,22188,30361.12174
15/9/2016,22188,30361.12174
16/9/2016,22188,30361.12174
17/9/2016,22188,30361.12174
18/9/2016,22188,30361.12174
19/9/2016,22188,30361.12174
20/9/2016,22188,30361.12174
21/9/2016,22188,30361.12174
22/9/2016,22188,30361.12174
23/9/2016,22188,30361.12174
24/9/2016,22188,30361.12174
25/9/2016,22188,30361.12174
26/9/2016,22188,30361.12174
27/9/2016,22188,30361.12174
28/9/2016,22188,30361.12174
29/9/2016,22188,30361.12174
30/9/2016,22188,30361.12174
1/10/2016,3117.213115,23558.15469
2/10/2016,3117.213115,23558.15469
3/10/2016,3117.213115,23558.15469
4/10/2016,3117.213115,23558.15469
5/10/2016,3117.213115,23558.15469
6/10/2016,3117.213115,23558.15469
7/10/2016,3117.213115,23558.15469
8/10/2016,3117.213115,23558.15469
9/10/2016,3117.213115,23558.15469
10/10/2016,3117.213115,23558.15469
11/10/2016,3117.213115,23558.15469
12/10/2016,3117.213115,23558.15469
13/10/2016,3117.213115,23558.15469
14/10/2016,3117.213115,23558.15469
15/10/2016,3117.213115,23558.15469
16/10/2016,3117.213115,23558.15469
17/10/2016,3117.213115,23558.15469
18/10/2016,3117.213115,23558.15469
19/10/2016,3117.213115,23558.15469
20/10/2016,3117.213115,23558.15469
21/10/2016,3117.213115,23558.15469
22/10/2016,3117.213115,23558.15469
23/10/2016,3117.213115,23558.15469
24/10/2016,3117.213115,23558.15469
25/10/2016,3117.213115,23558.15469
26/10/2016,3117.213115,23558.15469
27/10/2016,3117.213115,23558.15469
28/10/2016,3117.213115,23558.15469
